F2Expression_id	permalink	type	label_it	label_en	creation_event	language	title	right	physical_carrier	cite_as
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Un mitragliamento. 27 dic. 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Un mitragliamento. 27 dic. 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/physical-object	"Raimondi, Giuseppe. ""Un mitragliamento"". Testo manoscritto. FR.A QUADERNI.1 1954 16. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Varie. Febbraio, marzo 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Varie. Febbraio, marzo 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/physical-object	"Raimondi, Giuseppe. ""Varie"". Testo manoscritto. FR.A QUADERNI.1 1954 8. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Rimbaud in Africa / [Giuseppe Raimondi]. Testo manoscritto.	Rimbaud in Africa / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/physical-object	"Raimondi, Giuseppe. ""Rimbaud in Africa"". Testo manoscritto. FR.A QUADERNI.1 1954 10. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/physical-object	"Raimondi, Giuseppe. ""Argomenti per i racconti"". Testo manoscritto. FR.A QUADERNI.1 1954 3. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. Testo manoscritto.	A proposito delle Lettere di condannati a morte. Agosto 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/physical-object	"Raimondi, Giuseppe. ""A proposito delle Lettere di condannati a morte"". Testo manoscritto. FR.A QUADERNI.1 1954 12. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Argomenti per i racconti : 2. volume. 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/physical-object	"Raimondi, Giuseppe. ""Argomenti per i racconti"". Testo manoscritto. FR.A QUADERNI.1 1954 2. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	L'ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. Testo manoscritto.	L'ufficiale tedesco : racconto. Dic. '54 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/physical-object	"Raimondi, Giuseppe. ""L'ufficiale tedesco"". Testo manoscritto. FR.A QUADERNI.1 1954 15. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Teste - Valery. 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Teste - Valery. 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/physical-object	"Raimondi, Giuseppe. ""Teste - Valery"". Testo manoscritto. FR.A QUADERNI.1 1954 6. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Dare & avere : giugno 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Dare & avere : giugno 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/physical-object	"Raimondi, Giuseppe. ""Dare & avere"". Testo manoscritto. FR.A QUADERNI.1 1954 11. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. Testo manoscritto.	Case di Bologna. (Maggio 1954) / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/physical-object	"Raimondi, Giuseppe. ""Case di Bologna"". Testo manoscritto. FR.A QUADERNI.1 1954 9. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	L'osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. Testo manoscritto.	L'osteria di Paderno : Racconti. (1954) / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/physical-object	"Raimondi, Giuseppe. ""L'osteria di Paderno"". Testo manoscritto. FR.A QUADERNI.1 1954 7. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	"Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. Testo manoscritto."	"Guido. 1954 : (""Io Guido Reni"") / [Giuseppe Raimondi]. Manuscript text."	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/physical-object	"Raimondi, Giuseppe. ""Guido"". Testo manoscritto. FR.A QUADERNI.1 1954 13. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Rimbaud. Novembre 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/physical-object	"Raimondi, Giuseppe. ""Rimbaud"". Testo manoscritto. FR.A QUADERNI.1 1954 14. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. Testo manoscritto.	Argomenti per i racconti. 1954 : (2. volume) / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/physical-object	"Raimondi, Giuseppe. ""Argomenti per i racconti"". Testo manoscritto. FR.A QUADERNI.1 1954 1. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/expression	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/expression	https://w3id.org/ficlitdl/documentary-form-type/notebook	Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. Testo manoscritto.	Dare & avere. Aprile 1954 / [Giuseppe Raimondi]. Manuscript text.	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/expression-creation	http://id.loc.gov/vocabulary/iso639-2/ita	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/title	https://w3id.org/ficlitdl/rights/all-rights-reserved	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/physical-object	"Raimondi, Giuseppe. ""Dare & avere"". Testo manoscritto. FR.A QUADERNI.1 1954 4. Quaderni manoscritti 1954-1976, Fondo Giuseppe Raimondi. Biblioteca Ezio Raimondi, Dipartimento di Filologia Classica e Italianistica, Università di Bologna."
