RoleInTime_id	permalink	label_it	label_en	related_expression	role
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/author	"Giuseppe Raimondi, autore del quaderno ""Rimbaud in Africa"""	"Giuseppe Raimondi, author of the notebook ""Rimbaud in Africa"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq9/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/author	"Giuseppe Raimondi, autore del quaderno ""Argomenti per i racconti : 2. volume. 1954"""	"Giuseppe Raimondi, author of the notebook ""Argomenti per i racconti : 2. volume. 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq2/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/author	"Giuseppe Raimondi, autore del quaderno ""A proposito delle Lettere di condannati a morte. Agosto 1954"""	"Giuseppe Raimondi, author of the notebook ""A proposito delle Lettere di condannati a morte. Agosto 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq11/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/author	"Giuseppe Raimondi, autore del quaderno ""Dare & avere : giugno 1954"""	"Giuseppe Raimondi, author of the notebook ""Dare & avere : giugno 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq10/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/author	"Giuseppe Raimondi, autore del quaderno ""Dare & avere. Aprile 1954"""	"Giuseppe Raimondi, author of the notebook ""Dare & avere. Aprile 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq4/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/author	"Giuseppe Raimondi, autore del quaderno ""L'ufficiale tedesco : racconto. Dic. '54"""	"Giuseppe Raimondi, author of the notebook ""L'ufficiale tedesco : racconto. Dic. '54"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq14/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/author	"Giuseppe Raimondi, autore del quaderno ""Argomenti per i racconti : 2. volume. 1954"""	"Giuseppe Raimondi, author of the notebook ""Argomenti per i racconti : 2. volume. 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq3/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/author	"Giuseppe Raimondi, autore del quaderno ""Rimbaud. Novembre 1954"""	"Giuseppe Raimondi, author of the notebook ""Rimbaud. Novembre 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq13/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/author	"Giuseppe Raimondi, autore del quaderno ""Guido. 1954 : (""Io Guido Reni"")"""	"Giuseppe Raimondi, author of the notebook ""Guido. 1954 : (""Io Guido Reni"")"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq12/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/author	"Giuseppe Raimondi, autore del quaderno ""Case di Bologna. (Maggio 1954)"""	"Giuseppe Raimondi, author of the notebook ""Case di Bologna. (Maggio 1954)"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq8/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/author	"Giuseppe Raimondi, autore del quaderno ""Un mitragliamento. 27 dic. 1954"""	"Giuseppe Raimondi, author of the notebook ""Un mitragliamento. 27 dic. 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq15/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/author	"Giuseppe Raimondi, autore del quaderno ""L'osteria di Paderno : Racconti. (1954)"""	"Giuseppe Raimondi, author of the notebook ""L'osteria di Paderno : Racconti. (1954)"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq6/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/author	"Giuseppe Raimondi, autore del quaderno ""Varie. Febbraio, marzo 1954"""	"Giuseppe Raimondi, author of the notebook ""Varie. Febbraio, marzo 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq7/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/author	"Giuseppe Raimondi, autore del quaderno ""Argomenti per i racconti. 1954 : (2. volume)"""	"Giuseppe Raimondi, author of the notebook ""Argomenti per i racconti. 1954 : (2. volume)"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq1/expression	http://purl.org/spar/pro/author
https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/author	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/author	"Giuseppe Raimondi, autore del quaderno ""Teste - Valery. 1954"""	"Giuseppe Raimondi, author of the notebook ""Teste - Valery. 1954"""	https://w3id.org/ficlitdl/giuseppe-raimondi-fonds/notebook/rdq5/expression	http://purl.org/spar/pro/author
